,revision_id,article_quality,article_title,country,population,region
872,1249885794,C,Balach Marri,Pakistan,240.5,SOUTH ASIA
2697,1229646022,Stub,Balal Mohamed Osman,Somalia,18.1,EASTERN AFRICA
5593,1246220838,Stub,Balarabe Shehu Kakale,Nigeria,223.8,WESTERN AFRICA
4993,1220065013,Start,Balla Koné,Mali,23.3,WESTERN AFRICA
3690,1030716598,Start,Balthasar Báthory,Hungary,9.6,EASTERN EUROPE
6789,1235292742,Start,Balyeku Moses Grace,Uganda,48.6,EASTERN AFRICA
1070,1226927031,Stub,Balys Gajauskas,Lithuania,2.9,NORTHERN EUROPE
5444,1247940215,Start,Bam Shah,Nepal,30.9,SOUTH ASIA
2889,1247638929,Start,Bambang Kesowo,Indonesia,278.7,SOUTHEAST ASIA
2927,1232733877,Start,Bambang Santoso,Indonesia,278.7,SOUTHEAST ASIA
5672,1240825566,C,Bamidele Salam,Nigeria,223.8,WESTERN AFRICA
3782,1232500347,Stub,Bandaru Satyananda Rao,India,1428.6,SOUTH ASIA
3881,1239207188,Stub,Bandaru Satyanarayana Murthy,India,1428.6,SOUTH ASIA
6179,1209123522,C,Bandile Masuku,South Africa,60.7,SOUTHERN AFRICA
2189,1112278142,Start,Banyingela Kasonga,Congo DR,102.3,MIDDLE AFRICA
1709,1231942275,C,Bao Youxiang,Myanmar,55.4,SOUTHEAST ASIA
43,1176481824,Start,Baran Khan Kudezai,Afghanistan,42.4,SOUTH ASIA
90,1250227174,C,Bardhok Biba,Albania,2.7,SOUTHERN EUROPE
2675,1245230730,C,Barkat Gourad Hamadou,Djibouti,1.1,EASTERN AFRICA
3604,1157234813,C,Barry III,Guinea,14.2,WESTERN AFRICA
6136,1222021153,Stub,Bartholomew Parapolo,Solomon Islands,0.8,OCEANIA
4192,1233899759,Stub,Bartolo Pellegrino,Italy,58.8,SOUTHERN EUROPE
4188,1052735553,Start,Bartolomeo Panciatichi,Italy,58.8,SOUTHERN EUROPE
4213,1226044880,Stub,Bartolomeo Scala,Italy,58.8,SOUTHERN EUROPE
2466,1244157626,Start,Bartolomé Masó,Cuba,11.0,CARIBBEAN
2469,1247766152,Start,Bartolomé Morales,Cuba,11.0,CARIBBEAN
3646,1222160201,Stub,Barton Scotland,Guyana,0.8,SOUTH AMERICA
1122,1249155890,Start,Bartosz Pastuszka,Poland,37.7,EASTERN EUROPE
14,1248505877,Start,Bashir Ahmad Bezan,Afghanistan,42.4,SOUTH ASIA
2698,1249050048,,Bashir Bililiqo,Somalia,18.1,EASTERN AFRICA
2731,1236987408,Start,Bashir Mohamed Jama,Somalia,18.1,EASTERN AFRICA
4793,1154763590,Stub,Bashir Saadawi,Libya,6.9,NORTHERN AFRICA
1352,1242446129,Stub,Basilio Ah,Belize,0.5,CENTRAL AMERICA
5377,1246373223,Stub,Basilio Muhate,Mozambique,33.9,EASTERN AFRICA
184,1192088820,Stub,Basma Azouar,Algeria,46.8,NORTHERN AFRICA
4712,1225744507,Stub,Bassam Mawlawi,Lebanon,5.4,WESTERN ASIA
2851,1244191276,Stub,Basyir Bachtiar,Indonesia,278.7,SOUTHEAST ASIA
3780,1232500619,Stub,Bathula Balaramakrishna,India,1428.6,SOUTH ASIA
5281,1152984878,Stub,Batrić Jovanović,Montenegro,0.6,SOUTHERN EUROPE
4440,1234098485,Start,Baurzhan Abdishev,Kazakhstan,19.9,CENTRAL ASIA
1710,1210082543,Start,Bawk Ja,Myanmar,55.4,SOUTHEAST ASIA
4529,1248651514,Start,Baxtiyor Rahimov,Uzbekistan,36.4,CENTRAL ASIA
4482,1249803041,Start,Bayaman Erkinbayev,Kyrgyzstan,6.8,CENTRAL ASIA
5267,1239033698,C,Bayantömöriin Khaisan,Mongolia,3.5,EAST ASIA
6808,1244947350,Start,Beatrice Kiraso,Uganda,48.6,EASTERN AFRICA
5408,1239549671,Stub,Bedraj Singh,Nepal,30.9,SOUTH ASIA
136,1220757655,C,Bedri Pejani,Albania,2.7,SOUTHERN EUROPE
602,1195019933,Start,Bedřich Reicin,Czechia,10.9,EASTERN EUROPE
1693,1177650476,Stub,Begnon-Damien Koné,Burkina Faso,22.9,WESTERN AFRICA
132,1180949734,Stub,Behxhet Nepravishta,Albania,2.7,SOUTHERN EUROPE
4465,1165541969,Start,Bekbol Sagyn,Kazakhstan,19.9,CENTRAL ASIA
159,1237198613,Start,Bekim Çollaku,Kosovo,1.7,SOUTHERN EUROPE
7053,1085044064,Stub,Bekithemba Mpofu,Zimbabwe,16.7,EASTERN AFRICA
4530,1226100587,Start,Bekjon Rakhmonov,Uzbekistan,36.4,CENTRAL ASIA
4450,1243509942,Stub,Bektas Beknazarov,Kazakhstan,19.9,CENTRAL ASIA
3084,1199380443,Start,Belete Molla,Ethiopia,126.5,EASTERN AFRICA
1967,1240166319,B,Beltrán Mathieu,Chile,20.0,SOUTH AMERICA
2604,1225826824,C,Belén de Sárraga,Spain,48.3,SOUTHERN EUROPE
5383,1222863168,Start,Ben Africa,Namibia,2.6,SOUTHERN AFRICA
2896,1222143636,C,Ben Mang Reng Say,Indonesia,278.7,SOUTHEAST ASIA
5850,1213179640,Start,Ben Micah,Papua New Guinea,9.5,OCEANIA
6236,1221995741,Stub,Ben Nsibandze,South Africa,60.7,SOUTHERN AFRICA
196,1237478919,Stub,Benaouda Hadj Hacène Bachterzi,Algeria,46.8,NORTHERN AFRICA
6049,1176248040,Start,Benarva Browne,St. Vincent and the Grenadines,0.1,CARIBBEAN
4652,1099442981,Start,Benedict Wachira,Kenya,55.1,EASTERN AFRICA
3158,1249342849,Stub,Bengt Snivil,Sweden,10.5,NORTHERN EUROPE
4853,1072140578,Start,Benja Razafimahaleo,Madagascar,30.4,EASTERN AFRICA
5507,1242620558,Start,Benjamin Anyene,Nigeria,223.8,WESTERN AFRICA
6520,1244054248,GA,Benjamin Giezendanner,Switzerland,8.8,WESTERN EUROPE
6158,1246187242,Stub,Benjamin Greenacre,South Africa,60.7,SOUTHERN AFRICA
6932,1246857158,Start,Benjamín Rausseo,Venezuela,28.8,SOUTH AMERICA
2632,1233091293,C,Benon Sevan,Cyprus,1.3,WESTERN ASIA
2584,1186657248,Start,Berenguer de Palou II,Spain,48.3,SOUTHERN EUROPE
3044,1222041277,Stub,Berhane Habtemariam,Eritrea,3.7,EASTERN AFRICA
4478,1158549938,Start,Bermet Akayeva,Kyrgyzstan,6.8,CENTRAL ASIA
2254,1222116000,Stub,Bernal Jiménez Monge,Costa Rica,5.3,CENTRAL AMERICA
4577,1246061815,Stub,Bernard Kitungi,Kenya,55.1,EASTERN AFRICA
3301,1133063202,Start,Bernard Morel (economist),France,65.9,WESTERN EUROPE
3303,1234045540,Start,Bernard Mourad,France,65.9,WESTERN EUROPE
1900,1108720863,Start,Bernard Muna,Cameroon,28.1,MIDDLE AFRICA
1910,1098278415,Stub,Bernard Njonga,Cameroon,28.1,MIDDLE AFRICA
6037,1230534850,Stub,Bernard Ntaganda,Rwanda,14.1,EASTERN AFRICA
5637,1246220787,C,Bernard Odoh,Nigeria,223.8,WESTERN AFRICA
338,1241564686,Stub,Bernard Percival,Antigua and Barbuda,0.1,CARIBBEAN
256,1210193481,Stub,Bernarda Gonçalves Martins,Angola,36.7,MIDDLE AFRICA
5856,1098691192,Stub,Bernardino Cano Radil,Paraguay,6.2,SOUTH AMERICA
2569,1245653702,Start,Bernardino de Mendoza,Spain,48.3,SOUTHERN EUROPE
2074,1245234390,Stub,Bernardo Guerra Serna,Colombia,52.2,SOUTH AMERICA
3404,1230379647,Start,Bernd Hüttemann,Germany,84.9,WESTERN EUROPE
2003,1237244682,Start,Bernhard Eunom Philippi,Chile,20.0,SOUTH AMERICA
4747,1065553283,Start,Bernice Dahn,Liberia,5.4,WESTERN AFRICA
1358,1215561378,C,Bert Tucker,Belize,0.5,CENTRAL AMERICA
3222,1242494191,Stub,Bertil Zachrisson,Sweden,10.5,NORTHERN EUROPE
3455,1146695614,Start,Bertram von Sturm,Germany,84.9,WESTERN EUROPE
2175,1209006607,Start,Bertrand Bisimwa,Congo DR,102.3,MIDDLE AFRICA
6823,1061210640,Stub,Besueri Kiwanuka Lusse Mulondo,Uganda,48.6,EASTERN AFRICA
1567,1246064759,Stub,Betinho Rosado,Brazil,204.0,SOUTH AMERICA
1529,1221098764,Stub,Beto Mansur,Brazil,204.0,SOUTH AMERICA
4590,1181754924,Stub,Betty Maina,Kenya,55.1,EASTERN AFRICA
1353,1171859695,Stub,Beverly Castillo,Belize,0.5,CENTRAL AMERICA
3785,1240433792,Start,Bharat Bhushan Mandal,India,1428.6,SOUTH ASIA
3904,1237817306,Stub,Bharatbhai Sutariya,India,1428.6,SOUTH ASIA
3838,1244283795,Stub,Bhaskar Bhagare,India,1428.6,SOUTH ASIA
5410,1232672287,Stub,Bhim Bahadur Bhandari,Nepal,30.9,SOUTH ASIA
3840,1232500927,Stub,Bhojraj Nag,India,1428.6,SOUTH ASIA
5450,1095758222,Stub,Bhuwan Bahadur Sunar,Nepal,30.9,SOUTH ASIA
5436,1249925702,Start,Bidhyanath Pokhrel,Nepal,30.9,SOUTH ASIA
3066,1240260904,Stub,Binalf Andualem,Ethiopia,126.5,EASTERN AFRICA
5714,1226318030,C,Binos Dauda Yaroe,Nigeria,223.8,WESTERN AFRICA
2230,1144900728,Stub,Birche,Costa Rica,5.3,CENTRAL AMERICA
762,1246126702,Stub,Birendra Kishore Roaza,Bangladesh,173.5,SOUTH ASIA
3162,1242448620,Start,Birger Brosa,Sweden,10.5,NORTHERN EUROPE
3160,1248497385,C,Birger Jarl,Sweden,10.5,NORTHERN EUROPE
4461,1243509853,Start,Birjan Nurymbetov,Kazakhstan,19.9,CENTRAL ASIA
5530,1224270625,Start,Bisayo Busari-Akinnadeju,Nigeria,223.8,WESTERN AFRICA
5422,1210988854,Stub,Bishal Khadka,Nepal,30.9,SOUTH ASIA
763,1242147738,Start,Bishnu Chattopadhyay,Bangladesh,173.5,SOUTH ASIA
5445,1230592998,Start,Bishnu Pratap Shah,Nepal,30.9,SOUTH ASIA
6404,1185627983,Stub,Bishop Philip Abbas Ghaboush,Sudan,48.1,NORTHERN AFRICA
88,1217284690,C,Bislim Bajgora,Albania,2.7,SOUTHERN EUROPE
4766,1158703245,Stub,Blahsue Vonleh,Liberia,5.4,WESTERN AFRICA
1681,1194947033,Stub,Blaise Bassoleth,Burkina Faso,22.9,WESTERN AFRICA
2520,1101437075,Stub,Blas Camacho,Spain,48.3,SOUTHERN EUROPE
2555,1232417015,GA,Blas Infante,Spain,48.3,SOUTHERN EUROPE
5630,1180361858,Start,Blessing Nwagba,Nigeria,223.8,WESTERN AFRICA
5697,1246468161,Start,Bob-Manuel Udokwu,Nigeria,223.8,WESTERN AFRICA
4499,1167444940,Start,Bobo Makhamov,Tajikistan,10.2,CENTRAL ASIA
5148,1235198980,Start,Bogdan Belsky,Russia,146.9,EASTERN EUROPE
2396,1202961657,Start,Bogdan Medaković,Serbia,6.6,SOUTHERN EUROPE
2390,1227405941,Start,Bogoljub Kujundžić,Serbia,6.6,SOUTHERN EUROPE
580,1153657412,Start,Bohuslav Kokotek,Czechia,10.9,EASTERN EUROPE
4751,1236123189,Stub,Boima Kamara,Liberia,5.4,WESTERN AFRICA
1658,1249711386,Stub,Bojan Bojanovski,North Macedonia,1.8,SOUTHERN EUROPE
1150,1226773450,Stub,Bolesław Fleszar,Poland,37.7,EASTERN EUROPE
1255,1188676854,Stub,Bolesław Tejkowski,Poland,37.7,EASTERN EUROPE
6937,1246247008,Stub,Bolivia Suárez,Venezuela,28.8,SOUTH AMERICA
5565,1206181815,Start,Boma Goodhead,Nigeria,223.8,WESTERN AFRICA
3788,1232500872,Stub,Bommidi Narayana Nayakar,India,1428.6,SOUTH ASIA
6386,1235651454,GA,Bona Malwal,Sudan,48.1,NORTHERN AFRICA
6372,919581650,Stub,Bona Panek,South Sudan,11.1,EASTERN AFRICA
2164,976591922,Stub,Bonaventure Mizidy,Congo,6.1,MIDDLE AFRICA
1200,1246389291,C,Bonawentura Niemojowski,Poland,37.7,EASTERN EUROPE
3916,1250235413,Start,Bonela Vijaya Chandra,India,1428.6,SOUTH ASIA
6142,1244353459,C,Bongani Baloyi,South Africa,60.7,SOUTHERN AFRICA
6145,1241954393,C,Bongani Bongo,South Africa,60.7,SOUTHERN AFRICA
6197,1168741905,Stub,Bongani Msomi,South Africa,60.7,SOUTHERN AFRICA
4865,1206836023,Stub,Boniface Kalindo,Malawi,19.8,EASTERN AFRICA
1431,1249373475,B,Bonifacio Pinedo,Bolivia,12.2,SOUTH AMERICA
2857,1163823822,C,Bonifasius Belawan Geh,Indonesia,278.7,SOUTHEAST ASIA
4178,1179520102,Start,Bonincontro Morigia,Italy,58.8,SOUTHERN EUROPE
6600,1184183821,Start,Bonnah Kaluwa,Tanzania,67.4,EASTERN AFRICA
5167,1096031779,Stub,Boris Furmanov,Russia,146.9,EASTERN EUROPE
662,1217681945,Start,Boris Kevorkov,Azerbaijan,10.2,WESTERN ASIA
5131,1217912056,C,Boris Volosatîi,Moldova,3.4,EASTERN EUROPE
1835,1164622554,C,Borwornsak Uwanno,Thailand,66.0,SOUTHEAST ASIA
997,1243514456,Stub,Borys Kachura,Ukraine,36.7,EASTERN EUROPE
1000,1243514473,Start,Borys Klimchuk (politician),Ukraine,36.7,EASTERN EUROPE
6838,1240241204,Start,Bosmic Otim,Uganda,48.6,EASTERN AFRICA
4981,1229918902,Stub,Boubacar Alpha Bah,Mali,23.3,WESTERN AFRICA
5721,1240799135,Start,Boubacar Hama Beidi,Niger,27.2,WESTERN AFRICA
3611,1226298707,Stub,Boubacar Yacine Diallo,Guinea,14.2,WESTERN AFRICA
221,1226437538,Stub,Bouras Djamel,Algeria,46.8,NORTHERN AFRICA
1680,1188858837,Start,Boureima Badini,Burkina Faso,22.9,WESTERN AFRICA
4505,1205364044,B,Bozor Sobir,Tajikistan,10.2,CENTRAL ASIA
1440,1153745598,Stub,Boško Baškot,Bosnia Herzegovina,3.4,SOUTHERN EUROPE
5272,1245226687,Start,Božidar Bojović,Montenegro,0.6,SOUTHERN EUROPE
4251,1249350013,C,Božidar Jakac,Slovenia,2.1,SOUTHERN EUROPE
1460,1248791274,C,Božidar Matić,Bosnia Herzegovina,3.4,SOUTHERN EUROPE
4525,1157984320,Stub,Boʻritosh Mustafoyev,Uzbekistan,36.4,CENTRAL ASIA
5331,1243832092,Start,Brahim Boutaleb,Morocco,37.0,NORTHERN AFRICA
215,1053460621,Stub,Brahim Chibout,Algeria,46.8,NORTHERN AFRICA
225,1172500304,Start,Brahim Djamel Kassali,Algeria,46.8,NORTHERN AFRICA
231,1244511083,Start,Brahim Merad,Algeria,46.8,NORTHERN AFRICA
5370,1250235910,C,Brahim Zniber,Morocco,37.0,NORTHERN AFRICA
298,1142474441,Stub,Branca Manuel Espirito Santo,Angola,36.7,MIDDLE AFRICA
2360,1216083276,C,Branislav Andjelić,Serbia,6.6,SOUTHERN EUROPE
2369,1216623573,Start,Branislav Crnčević,Serbia,6.6,SOUTHERN EUROPE
2290,1224032607,C,Branko Bačić,Croatia,3.8,SOUTHERN EUROPE
5288,1190555971,Stub,Branko Lukovac,Montenegro,0.6,SOUTHERN EUROPE
5692,1149479906,Stub,Bridget Twar,Nigeria,223.8,WESTERN AFRICA
7048,1036801272,Stub,Bright Matonga,Zimbabwe,16.7,EASTERN AFRICA
2825,1215933839,Start,Brigida Antónia Correia,Timor Leste,1.4,SOUTHEAST ASIA
529,1215184008,Start,Brigitta Pallauf,Austria,9.2,WESTERN EUROPE
3264,1208933505,Start,Brigitte Girardin,France,65.9,WESTERN EUROPE
1140,1102188013,Stub,Bronisław Dankowski,Poland,37.7,EASTERN EUROPE
1084,1184258161,Stub,Bronius Kuzmickas,Lithuania,2.9,NORTHERN EUROPE
6994,1243942923,Start,Bruce Conde,Yemen,34.4,WESTERN ASIA
3370,1245092447,Start,Bruno Baum,Germany,84.9,WESTERN EUROPE
3240,1244708767,Stub,Bruno Clavet,France,65.9,WESTERN EUROPE
4133,1194193117,Stub,Bruno Ferrante,Italy,58.8,SOUTHERN EUROPE
5994,1224131207,Start,Bruno Maçães,Portugal,10.5,SOUTHERN EUROPE
5930,1137572008,C,Bruno Pacheco (politician),Peru,33.8,SOUTH AMERICA
4836,1173719996,Stub,Bruno Rajaonson,Madagascar,30.4,EASTERN AFRICA
3349,1244830184,Stub,Buba Samura,Gambia,2.8,WESTERN AFRICA
5301,1122440109,Stub,Budimir Šegrt,Montenegro,0.6,SOUTHERN EUROPE
2505,1241430575,Start,Buenaventura Carlos Aribau,Spain,48.3,SOUTHERN EUROPE
6894,1231707762,C,Buenaventura Macabeo Maldonado Vivas,Venezuela,28.8,SOUTH AMERICA
101,1222151681,C,Bujar Dida,Albania,2.7,SOUTHERN EUROPE
4891,1244373350,Stub,Bukhori Ghazali,Malaysia,33.4,SOUTHEAST ASIA
7017,1240505790,Start,Bulelani Lobengula,Zimbabwe,16.7,EASTERN AFRICA
1798,1229174400,C,Bun Chanmol,Cambodia,17.0,SOUTHEAST ASIA
5540,1232995202,C,Bunmi Dipo Salami,Nigeria,223.8,WESTERN AFRICA
1836,1245019854,Stub,Bunsong Noisophon,Thailand,66.0,SOUTHEAST ASIA
3228,1186806947,Start,Bureau de La Rivière,France,65.9,WESTERN EUROPE
2840,1099307042,Stub,Burhan Abdurahman,Indonesia,278.7,SOUTHEAST ASIA
2904,1245143844,Stub,Burhan Muhammad,Indonesia,278.7,SOUTHEAST ASIA
3864,1232500861,Stub,Burla Ramanjaneyulu,India,1428.6,SOUTH ASIA
5483,1215434038,Start,Busari Adelakun,Nigeria,223.8,WESTERN AFRICA
2845,1244189449,Stub,Bustanil Arifin,Indonesia,278.7,SOUTHEAST ASIA
2771,1249135870,Start,Buurmadow,Somalia,18.1,EASTERN AFRICA
7036,1226322417,Stub,Byron Hove,Zimbabwe,16.7,EASTERN AFRICA
6711,1223510711,GA,Béchir Sfar,Tunisia,11.9,NORTHERN AFRICA
3761,1008352289,Start,Béla Szombati,Hungary,9.6,EASTERN EUROPE
3768,1187030749,Stub,Béla Vörösmarty,Hungary,9.6,EASTERN EUROPE
6944,1209293575,Stub,Bùi Tiến Dũng (politician),Vietnam,98.9,SOUTHEAST ASIA
6448,1247700741,C,C. H. Z. Fernando,Sri Lanka,22.7,SOUTH ASIA
3819,1230949310,Stub,C. Krishnamurali,India,1428.6,SOUTH ASIA
3647,1219573961,Start,C. N. Sharma,Guyana,0.8,SOUTH AMERICA
6452,1165316159,Stub,C. T. Grero,Sri Lanka,22.7,SOUTH ASIA
6753,1245187366,Stub,Cahit Ortaç,Turkey,85.6,WESTERN ASIA
3408,1215567546,C,Caio Koch-Weser,Germany,84.9,WESTERN EUROPE
319,1241563135,Stub,Caleb Gardiner,Antigua and Barbuda,0.1,CARIBBEAN
4859,1191261046,Stub,Calvin Tsiebo,Madagascar,30.4,EASTERN AFRICA
1521,1240746354,C,Camila Jourdan,Brazil,204.0,SOUTH AMERICA
5254,1247535187,Start,Camille Blanc,Monaco,0.0,WESTERN EUROPE
4737,1158582098,Stub,Camille Ziade,Lebanon,5.4,WESTERN ASIA
6723,1238041206,C,Can Atalay,Turkey,85.6,WESTERN ASIA
2025,1240382229,C,Cao Lihuai,China,1411.3,EAST ASIA
3123,1241745255,C,Carl Axel Gottlund,Finland,5.6,NORTHERN EUROPE
3132,1246601762,Stub,Carl Fabian Langenskiöld,Finland,5.6,NORTHERN EUROPE
3200,1174570277,Start,Carl Fredrik Pechlin,Sweden,10.5,NORTHERN EUROPE
3390,1226188291,Stub,Carl Heinrich Wilhelm Hagen,Germany,84.9,WESTERN EUROPE
3419,1240634849,Stub,Carl Otto von Madai,Germany,84.9,WESTERN EUROPE
3177,1167414427,Start,Carl P. Herslow,Sweden,10.5,NORTHERN EUROPE
3201,1234258396,Start,Carl Piper,Sweden,10.5,NORTHERN EUROPE
3099,1239944302,Start,Carl Robert Jakobson,Estonia,1.4,NORTHERN EUROPE
2534,1198285042,C,Carles Duarte i Montserrat,Spain,48.3,SOUTHERN EUROPE
4128,1242395503,C,Carlo Dossi,Italy,58.8,SOUTHERN EUROPE
4134,1229833190,C,Carlo Filangieri,Italy,58.8,SOUTHERN EUROPE
4140,1223668374,Stub,Carlo Galli (political scientist),Italy,58.8,SOUTHERN EUROPE
4146,901844540,Stub,Carlo Ginori,Italy,58.8,SOUTHERN EUROPE
4149,1226028049,Stub,Carlo Ignazio Giulio,Italy,58.8,SOUTHERN EUROPE
4207,1199074733,Start,Carlo Romussi,Italy,58.8,SOUTHERN EUROPE
4224,1187024057,Start,Carlo Tivaroni,Italy,58.8,SOUTHERN EUROPE
5819,1179631463,Stub,Carlos Afu,Panama,4.5,CENTRAL AMERICA
5882,1246359867,C,Carlos Arana,Peru,33.8,SOUTH AMERICA
2953,1209006227,Stub,Carlos Arizaga Toral,Ecuador,17.1,SOUTH AMERICA
6913,1232115163,Start,Carlos Augusto León,Venezuela,28.8,SOUTH AMERICA
1971,1246583396,Start,Carlos Balmaceda Saavedra,Chile,20.0,SOUTH AMERICA
5888,1231783846,C,Carlos Basombrío Iglesias,Peru,33.8,SOUTH AMERICA
5889,1246360102,Start,Carlos Bazán Zender,Peru,33.8,SOUTH AMERICA
5892,1246361701,Start,Carlos Boloña,Peru,33.8,SOUTH AMERICA
5372,1249355860,Start,Carlos Cardoso (journalist),Mozambique,33.9,EASTERN AFRICA
3538,1015536139,Stub,Carlos Castillo Medrano,Guatemala,18.1,CENTRAL AMERICA
2522,1247065861,Start,Carlos Cañal y Migolla,Spain,48.3,SOUTHERN EUROPE
361,1227620960,Stub,Carlos Corach,Argentina,46.3,SOUTH AMERICA
5829,1246053940,Start,Carlos Duque,Panama,4.5,CENTRAL AMERICA
2089,1245235975,C,Carlos Eduardo Medellín Becerra,Colombia,52.2,SOUTH AMERICA
1538,1087824575,Stub,Carlos Eduardo Moreira Ferreira,Brazil,204.0,SOUTH AMERICA
6936,1245089053,Start,Carlos Eduardo Stolk,Venezuela,28.8,SOUTH AMERICA
3584,1217529160,Start,Carlos Escaleras,Honduras,9.7,CENTRAL AMERICA
2539,1239574422,GA,Carlos Fabra Carreras,Spain,48.3,SOUTHERN EUROPE
2052,1245229831,C,Carlos Fernando Galán,Colombia,52.2,SOUTH AMERICA
2451,1227798452,Start,Carlos Fernández Gondín,Cuba,11.0,CARIBBEAN
5908,1097472740,Start,Carlos Gamarra Ugaz,Peru,33.8,SOUTH AMERICA
1984,1241138604,Stub,Carlos González Márquez,Chile,20.0,SOUTH AMERICA
378,1225799546,Stub,Carlos Kunkel,Argentina,46.3,SOUTH AMERICA
2044,1245234693,Stub,Carlos Mario Álvarez,Colombia,52.2,SOUTH AMERICA
2075,1248682870,C,Carlos Mauro Hoyos,Colombia,52.2,SOUTH AMERICA
1543,1246065514,Stub,Carlos Neder,Brazil,204.0,SOUTH AMERICA
395,1199679676,C,Carlos Petroni,Argentina,46.3,SOUTH AMERICA
3548,1225818991,GA,Carlos Pineda (politician),Guatemala,18.1,CENTRAL AMERICA
6875,1225819287,Start,Carlos Pita (politician),Uruguay,3.6,SOUTH AMERICA
2097,1249030421,C,Carlos Pizarro Leongómez,Colombia,52.2,SOUTH AMERICA
6876,1172801438,Stub,Carlos Quijano,Uruguay,3.6,SOUTH AMERICA
2278,1101826814,Stub,Carlos Ricardo Benavides Jiménez,Costa Rica,5.3,CENTRAL AMERICA
5938,1246359984,C,Carlos Roca (politician),Peru,33.8,SOUTH AMERICA
6934,1242453867,Start,Carlos Santana Tovar,Venezuela,28.8,SOUTH AMERICA
3596,1093553119,Start,Carlos Urbizo,Honduras,9.7,CENTRAL AMERICA
3586,1196013744,Start,Carlos Zúñiga Figueroa,Honduras,9.7,CENTRAL AMERICA
1928,1216635216,Start,Carlos de Vasconcelos,Cape Verde,0.6,WESTERN AFRICA
363,1209668330,Stub,Carlos de la Rosa,Argentina,46.3,SOUTH AMERICA
3563,1182289482,Stub,Carmen Elena Figueroa,El Salvador,6.4,CENTRAL AMERICA
2274,1241998103,Stub,Carmen Quesada Santamaría,Costa Rica,5.3,CENTRAL AMERICA
4805,1249939234,C,Carole Dieschbourg,Luxembourg,0.7,WESTERN EUROPE
258,1241977204,C,Carolina Cerqueira,Angola,36.7,MIDDLE AFRICA
2791,1246218553,C,Casimiro Antonio Marte Familia,Dominican Republic,11.3,CARIBBEAN
5031,1217999545,Start,Cassam Ajum Piperdy,Mauritania,4.9,WESTERN AFRICA
2974,1235477428,Start,Catalina Ontaneda,Ecuador,17.1,SOUTH AMERICA
1933,1242454262,Start,Catherine Denguiadé,Central African Republic,6.2,MIDDLE AFRICA
5258,1219297450,Stub,Catherine Fautrier,Monaco,0.0,WESTERN EUROPE
6621,1104077288,Start,Catherine Ruge,Tanzania,67.4,EASTERN AFRICA
6152,1235566176,Start,Cathy Dlamini,South Africa,60.7,SOUTHERN AFRICA
5043,1185223022,Start,Cehl Meeah,Mauritania,4.9,WESTERN AFRICA
6729,1133276392,Start,Cemil Bilsel,Turkey,85.6,WESTERN ASIA
4708,1204724753,Stub,Cesar Maalouf,Lebanon,5.4,WESTERN ASIA
4117,1045556051,Start,Cesare Correnti,Italy,58.8,SOUTHERN EUROPE
6240,1248053978,GA,Cha Myong-jin,Korea (South),51.4,EAST ASIA
915,1239861059,Start,Chad Blackman,Barbados,0.3,CARIBBEAN
1837,1248956827,Stub,Chada Thaiseth,Thailand,66.0,SOUTHEAST ASIA
3791,1246386346,Start,Chadalavada Aravinda Babu,India,1428.6,SOUTH ASIA
4711,1208546106,Start,Chadi Massaad,Lebanon,5.4,WESTERN ASIA
4717,1249040415,Stub,Chafic Nassif,Lebanon,5.4,WESTERN ASIA
5358,1243833613,C,Chafik Rachadi,Morocco,37.0,NORTHERN AFRICA
6690,1247869012,Start,Chaima Issa,Tunisia,11.9,NORTHERN AFRICA
1596,1227609197,C,Chairman (President) of Bulgaria,Bulgaria,6.4,EASTERN EUROPE
1838,1250055355,GA,Chaithawat Tulathon,Thailand,66.0,SOUTHEAST ASIA
4863,1248616152,C,Chakakala Chaziya,Malawi,19.8,EASTERN AFRICA
5407,1248275701,Start,Chakra Prasad Bastola,Nepal,30.9,SOUTH ASIA
3843,1241004899,Stub,Chalavadi Narayanaswamy,India,1428.6,SOUTH ASIA
3792,1244286661,Start,Chamala Kiran Kumar Reddy,India,1428.6,SOUTH ASIA
2124,1247354060,Stub,Chamina Ben Mohamed,Comoros,0.9,EASTERN AFRICA
6433,1241483000,C,Chanaka Amaratunga,Sri Lanka,22.7,SOUTH ASIA
6492,1187003994,Start,Chandradasa Wijesinghe,Sri Lanka,22.7,SOUTH ASIA
6241,1211885011,C,Chang Jung-sook,Korea (South),51.4,EAST ASIA
6242,1211885084,C,Chang Sŏng-man,Korea (South),51.4,EAST ASIA
3294,1058537657,C,Charlemagne de Maupas,France,65.9,WESTERN EUROPE
1881,1234063279,Start,Charles Ateba Eyene,Cameroon,28.1,MIDDLE AFRICA
6788,1246242863,Start,Charles Ayume,Uganda,48.6,EASTERN AFRICA
1354,1247370983,Start,Charles Bartlett Hyde,Belize,0.5,CENTRAL AMERICA
6097,1076671631,Stub,Charles Bastienne,Seychelles,0.1,EASTERN AFRICA
695,1162793449,C,Charles Carter (Bahamian journalist),Bahamas,0.4,CARIBBEAN
3232,1242211126,Stub,Charles Cassal,France,65.9,WESTERN EUROPE
933,1236388821,Start,Charles Duncan O'Neal,Barbados,0.3,CARIBBEAN
3259,1067808226,Start,Charles Ganilh,France,65.9,WESTERN EUROPE
3414,1226204581,Stub,Charles Lavy,Germany,84.9,WESTERN EUROPE
3262,1226239671,C,Charles Le Bègue de Germiny,France,65.9,WESTERN EUROPE
